0,38883.4,2795.14,0.0561425,1.18597,0.031367,0.0273302,0.0312485,0.0276559
1,36154.1,2598.94,0.0138841,0.211493,0.0304802,0.00675881,0.0269716,0.0238707
11,56203,4040.16,0.0404712,5.19213,0.0508617,0.0197014,0.0267616,0.0236848
12,76539.5,5502.05,0.0310119,8.47656,0.0776475,0.0150966,0.0281616,0.0249238
13,104739,7529.16,0.058614,7.81524,0.181771,0.0285334,0.0398926,0.0353062
14,131682,9465.99,0.0797299,11.2135,0.320917,0.0388126,0.0395628,0.0350143
15,156582,11256,0.11115,16.2606,0.56877,0.0541079,0.0380609,0.033685
16,187952,13510.9,0.177545,27.4365,1.18617,0.0864292,0.0991837,0.0877805
21,76113.9,5471.46,0.0605813,6.76729,0.100583,0.029491,0.0510926,0.0452185
22,85229.3,6126.72,0.0556368,8.96628,0.163372,0.0270841,0.0681786,0.0603401
23,102924,7398.67,0.0599823,11.5309,0.246983,0.0291994,0.0492257,0.0435662
24,131428,9447.74,0.114459,16.8562,0.416271,0.0557189,0.0541987,0.0479675
25,174998,12579.7,0.114031,19.1302,0.58379,0.0555102,0.0674152,0.0596645
27,229015,16462.8,0.180204,28.7293,0.919244,0.0877231,0.108152,0.0957173
28,308695,22190.6,1.21865,110.987,4.80478,0.59324,0.236312,0.209143
29,422913,30401.2,2.16363,235.053,8.43589,1.05326,1.13558,1.00502
30,531087,38177.3,3.57204,825.556,11.0986,1.73887,1.6822,1.48879
33,106213,7635.11,0.0581954,5.08099,0.214375,0.0283295,0.0704087,0.0623138
35,168360,12102.6,0.0808147,8.67589,0.591387,0.0393406,0.104319,0.092325
37,218360,15696.8,0.103557,12.7708,0.826399,0.0504116,0.080005,0.0708068
38,284731,20467.9,0.822918,101.727,4.07977,0.400597,0.195906,0.173382
39,379256,27262.9,1.1949,107.339,6.07319,0.581679,0.412559,0.365127
40,483460,34753.6,1.56228,315.464,7.6491,0.760519,0.476596,0.421802
